reason_code_encoded,evidence_completeness_score,has_invoice,has_shipping_proof,has_proof_of_delivery,has_customer_communication,contradiction_count,contradiction_max_severity,fraud_probability,merchant_historical_win_rate,previous_disputes_won_count,dispute_amount,evidence_quality_score,merchant_won
1,0.5,0,1,1,0,0,0,0.2525,0.8862,9,3246.6,0.3459,1
2,1.0,1,1,1,1,1,0,0.5224,0.6844,43,3855.36,0.8772,1
1,1.0,1,1,1,1,0,0,0.2968,0.6788,43,2578.14,0.8485,1
5,0.75,1,1,1,0,0,0,0.0774,0.8181,39,4724.16,0.6328,1
5,0.75,1,1,1,0,0,0,0.0604,0.7564,35,2010.66,0.4959,1
0,0.5,1,0,0,1,0,0,0.1652,0.6763,34,115.21,0.4071,1
1,0.5,1,0,0,1,0,0,0.3537,0.5226,0,1175.4,0.4868,1
0,0.75,1,1,1,0,1,3,0.1422,0.6796,17,10309.57,0.5919,0
0,1.0,1,1,1,1,0,0,0.0361,0.3974,30,5142.23,0.8687,1
0,0.5,1,1,0,0,0,0,0.5458,0.5884,45,835.51,0.4615,0
2,0.5,1,0,1,0,1,1,0.0539,0.768,48,341.42,0.4622,1
1,1.0,1,1,1,1,0,0,0.2084,0.91,5,1612.03,0.8317,1
0,0.75,1,1,1,0,0,0,0.183,0.8411,5,6434.06,0.7127,1
0,0.75,1,1,1,0,0,0,0.0246,0.4475,41,492.09,0.5902,1
4,0.75,1,0,1,1,1,0,0.3105,0.459,18,2843.46,0.7208,1
0,0.75,1,0,1,1,1,0,0.1173,0.8735,31,1225.54,0.5506,1
0,0.5,1,1,0,0,0,0,0.0553,0.7126,41,4634.45,0.374,0
1,0.75,1,1,0,1,1,3,0.6386,0.717,29,101.44,0.5014,1
5,0.25,0,0,0,1,0,0,0.4354,0.7627,25,1236.05,0.2321,1
0,0.25,1,0,0,0,0,0,0.198,0.5076,2,4079.83,0.199,0
2,1.0,1,1,1,1,0,0,0.5662,0.7065,32,2869.59,0.7302,1
2,0.75,1,1,1,0,0,0,0.0438,0.6561,49,5381.45,0.5483,1
0,0.5,1,1,0,0,2,2,0.1657,0.8541,30,700.57,0.4827,0
2,1.0,1,1,1,1,0,0,0.2196,0.6233,46,2749.85,0.9419,1
1,0.75,1,1,0,1,0,0,0.3643,0.6642,19,862.54,0.6328,1
2,0.25,1,0,0,0,0,0,0.2551,0.5371,3,3668.21,0.2164,1
2,0.5,1,1,0,0,0,0,0.1371,0.8757,31,592.82,0.408,1
1,0.75,1,1,0,1,0,0,0.0365,0.7438,17,663.44,0.5903,1
0,0.5,1,1,0,0,0,0,0.1914,0.6042,9,1492.31,0.4852,1
3,0.75,1,1,1,0,0,0,0.0598,0.4642,21,1899.03,0.5205,1
0,0.5,1,0,1,0,0,0,0.0552,0.5025,16,2515.95,0.3982,1
0,0.75,1,0,1,1,0,0,0.2297,0.5034,41,3142.15,0.5779,1
0,0.5,1,1,0,0,1,0,0.1612,0.6465,3,2314.25,0.4122,1
2,0.25,1,0,0,0,0,0,0.1133,0.788,36,263.5,0.2025,1
2,0.5,1,0,0,1,0,0,0.4928,0.8458,6,1572.7,0.4158,1
0,0.75,0,1,1,1,0,0,0.231,0.5188,7,321.71,0.5242,1
1,0.75,1,1,0,1,0,0,0.0551,0.7531,0,539.8,0.6222,1
0,0.75,1,1,1,0,0,0,0.1329,0.9415,7,440.96,0.5511,1
2,1.0,1,1,1,1,1,2,0.5607,0.5049,18,702.31,0.7145,1
0,0.75,1,1,1,0,0,0,0.3717,0.7545,16,5966.78,0.5045,1
2,0.75,1,1,1,0,0,0,0.6958,0.5623,40,3556.99,0.6877,1
1,0.75,1,1,0,1,2,0,0.2575,0.6102,47,2573.81,0.5997,1
4,0.5,1,1,0,0,0,0,0.2814,0.5541,8,4712.05,0.4347,1
0,0.5,1,1,0,0,1,0,0.1428,0.4773,15,11474.82,0.4523,0
0,0.75,1,1,1,0,0,0,0.3019,0.7019,44,1992.54,0.6658,1
0,0.5,1,1,0,0,2,3,0.0955,0.8817,36,1702.78,0.4073,0
4,0.25,0,1,0,0,0,0,0.0317,0.4736,26,13422.66,0.1964,0
3,1.0,1,1,1,1,0,0,0.3265,0.4255,1,5264.17,0.7816,1
0,0.25,1,0,0,0,0,0,0.1259,0.816,35,5353.79,0.2185,0
2,0.75,1,1,1,0,0,0,0.1212,0.5217,11,3306.51,0.6174,1
3,0.5,1,0,1,0,1,0,0.497,0.7634,49,2575.42,0.4736,1
2,0.75,1,1,0,1,1,0,0.0889,0.804,34,2899.38,0.7171,0
1,0.75,1,1,0,1,0,0,0.101,0.7974,30,3795.29,0.5323,1
0,0.5,1,1,0,0,1,2,0.6046,0.7355,18,1755.33,0.3488,0
0,1.0,1,1,1,1,0,0,0.3053,0.6911,25,5436.15,0.8706,1
4,0.75,1,1,1,0,0,0,0.2486,0.5238,35,8497.64,0.5666,1
4,0.75,1,1,1,0,0,0,0.6662,0.9061,3,3064.36,0.4924,1
2,0.75,1,1,1,0,2,3,0.2415,0.4671,47,1781.47,0.7208,1
0,0.5,0,1,1,0,1,1,0.1392,0.7208,42,4262.83,0.3647,0
0,0.25,1,0,0,0,1,3,0.2038,0.6349,30,803.83,0.2438,0
2,0.5,1,0,0,1,0,0,0.4394,0.3883,12,12210.27,0.4506,1
4,0.5,1,0,1,0,0,0,0.6886,0.7967,42,3855.18,0.4585,1
4,0.75,1,1,0,1,0,0,0.1504,0.8942,38,344.86,0.5404,1
2,0.5,1,1,0,0,0,0,0.1031,0.8878,45,2740.72,0.366,1
2,0.75,1,1,1,0,1,0,0.0865,0.6883,3,4956.8,0.6243,1
0,0.25,0,0,1,0,1,3,0.1989,0.7203,39,1239.31,0.1776,0
0,0.75,1,0,1,1,0,0,0.1513,0.4945,43,283.17,0.5677,1
4,0.5,0,1,1,0,0,0,0.0615,0.7822,12,2450.96,0.3813,1
2,0.5,1,0,0,1,1,3,0.419,0.5929,40,6377.28,0.3529,0
0,0.75,1,1,1,0,0,0,0.276,0.7565,8,1114.05,0.5414,1
0,0.5,1,1,0,0,0,0,0.2284,0.788,1,4518.24,0.463,0
2,0.5,1,1,0,0,0,0,0.4417,0.8016,34,1933.63,0.3543,1
0,0.5,1,0,1,0,1,1,0.2533,0.7759,11,315.19,0.33,1
0,0.25,1,0,0,0,0,0,0.3119,0.5218,16,1368.23,0.2176,0
1,0.5,1,0,1,0,0,0,0.0367,0.4961,3,1418.57,0.4958,0
2,0.75,1,1,0,1,1,2,0.1571,0.8706,13,8326.23,0.5744,0
2,0.5,0,1,1,0,0,0,0.0565,0.4775,20,14112.21,0.3458,1
0,0.5,1,0,0,1,0,0,0.0944,0.7762,40,924.0,0.4248,1
2,0.75,1,1,1,0,0,0,0.2718,0.5562,7,2070.57,0.7254,1
0,1.0,1,1,1,1,0,0,0.2589,0.7012,32,13258.08,0.9244,1
0,0.5,1,0,0,1,0,0,0.1617,0.8403,44,1930.55,0.4339,0
2,0.5,1,1,0,0,1,3,0.0255,0.8973,27,1603.28,0.3801,0
2,0.5,1,1,0,0,0,0,0.2471,0.8657,2,507.4,0.4198,0
3,0.25,0,0,0,1,1,3,0.4647,0.6886,13,4998.32,0.1705,0
2,1.0,1,1,1,1,0,0,0.3149,0.7728,18,2173.43,0.8876,1
2,0.75,1,1,1,0,0,0,0.3808,0.7882,5,3662.8,0.6778,1
0,0.25,0,1,0,0,0,0,0.2031,0.9452,35,2595.7,0.2469,0
1,0.75,1,1,0,1,1,3,0.3857,0.6328,19,771.34,0.5559,1
0,0.25,0,1,0,0,0,0,0.3269,0.7116,0,779.12,0.1641,0
0,1.0,1,1,1,1,0,0,0.5452,0.8218,9,9932.75,0.841,1
5,0.5,1,1,0,0,1,3,0.1477,0.7445,12,7810.2,0.4487,0
1,0.75,1,1,1,0,0,0,0.4089,0.6324,11,3401.32,0.695,1
4,1.0,1,1,1,1,1,3,0.4143,0.7039,10,104.36,0.7178,1
2,0.75,1,0,1,1,1,3,0.1876,0.4885,35,2087.71,0.5562,1
2,0.75,1,1,1,0,0,0,0.6027,0.7633,16,2745.77,0.6221,1
1,0.75,0,1,1,1,0,0,0.1699,0.6503,46,2188.85,0.5743,1
2,1.0,1,1,1,1,0,0,0.0393,0.3908,28,9186.97,0.9512,1
1,0.75,1,1,0,1,0,0,0.1227,0.8129,2,246.04,0.6119,1
0,0.25,1,0,0,0,0,0,0.1024,0.4386,28,3824.01,0.2325,0
2,1.0,1,1,1,1,0,0,0.4505,0.5269,9,1418.24,0.8532,1
0,0.75,1,0,1,1,0,0,0.304,0.884,45,2969.27,0.6904,1
0,1.0,1,1,1,1,0,0,0.2787,0.729,18,3834.06,0.7664,1
2,0.75,0,1,1,1,1,3,0.1697,0.8057,3,2134.5,0.7057,0
0,0.75,1,1,1,0,1,3,0.4038,0.8296,45,662.13,0.5596,0
4,1.0,1,1,1,1,0,0,0.1717,0.8811,37,2661.89,0.8411,1
5,0.5,0,1,0,1,0,0,0.136,0.6681,11,9558.43,0.3625,0
4,0.75,1,1,1,0,1,3,0.1399,0.7343,30,2786.64,0.6123,1
1,0.75,1,1,1,0,0,0,0.0953,0.7087,1,559.13,0.571,1
0,0.75,1,1,1,0,1,0,0.2251,0.8797,48,6183.69,0.5575,1
4,1.0,1,1,1,1,0,0,0.2041,0.6566,0,977.45,0.9884,1
1,0.0,0,0,0,0,3,0,0.2183,0.7259,16,1718.33,0.1,0
5,0.75,1,0,1,1,0,0,0.0913,0.8016,24,2059.79,0.6942,1
5,1.0,1,1,1,1,0,0,0.269,0.6959,4,1552.71,0.9945,1
3,0.5,0,1,0,1,0,0,0.0847,0.5729,47,1913.95,0.3285,1
0,0.75,0,1,1,1,1,2,0.2801,0.6325,13,5654.82,0.671,0
1,0.5,1,0,0,1,0,0,0.5148,0.7328,9,984.72,0.3693,1
3,0.5,1,1,0,0,0,0,0.1468,0.7432,20,2324.84,0.3321,1
0,0.75,1,1,0,1,0,0,0.1774,0.8113,24,170.74,0.5933,0
0,0.5,1,0,1,0,0,0,0.1779,0.5313,34,2580.09,0.4887,1
2,1.0,1,1,1,1,0,0,0.1296,0.7169,2,514.52,0.6541,1
4,0.75,1,1,1,0,1,1,0.2475,0.8598,17,1260.65,0.6418,1
2,1.0,1,1,1,1,1,1,0.1215,0.819,49,1474.99,0.8255,1
2,1.0,1,1,1,1,0,0,0.1331,0.3281,35,400.8,0.9557,1
0,0.75,1,1,0,1,0,0,0.1931,0.7258,38,1665.1,0.5096,1
2,0.25,1,0,0,0,1,1,0.2464,0.5262,32,2512.44,0.2221,0
5,0.75,1,1,1,0,0,0,0.0651,0.5713,47,2074.15,0.666,1
0,0.75,1,1,0,1,0,0,0.3331,0.5665,16,1251.83,0.6631,0
1,0.75,1,1,1,0,0,0,0.0243,0.6715,39,1322.73,0.7349,1
3,1.0,1,1,1,1,1,3,0.2866,0.9386,5,3613.94,0.9381,1
2,0.75,1,1,1,0,0,0,0.1413,0.6975,33,4535.39,0.4985,1
2,1.0,1,1,1,1,0,0,0.3903,0.6645,25,3107.46,0.8149,1
2,0.25,1,0,0,0,1,2,0.2147,0.3872,41,13181.49,0.1973,0
1,0.75,1,1,0,1,0,0,0.2276,0.5995,30,10243.47,0.5689,1
0,1.0,1,1,1,1,0,0,0.1709,0.8525,48,462.81,0.808,1
3,0.25,0,1,0,0,0,0,0.3612,0.4827,27,1160.37,0.1961,0
3,0.75,1,1,1,0,0,0,0.2081,0.5829,35,7197.8,0.601,1
3,0.25,1,0,0,0,1,3,0.0953,0.4326,12,205.39,0.2482,0
4,1.0,1,1,1,1,0,0,0.243,0.4975,20,3239.4,0.681,1
1,1.0,1,1,1,1,1,1,0.2763,0.64,25,10915.11,0.9728,1
1,1.0,1,1,1,1,0,0,0.0771,0.6133,30,4074.02,0.8181,1
2,0.75,1,1,0,1,0,0,0.1118,0.8973,15,437.53,0.6512,1
2,0.5,1,1,0,0,0,0,0.2585,0.3153,30,4921.61,0.4703,1
2,0.5,1,0,1,0,1,0,0.0599,0.8474,12,1753.34,0.3881,1
2,0.25,0,1,0,0,0,0,0.0863,0.4557,29,9007.8,0.2002,1
4,0.5,1,0,1,0,1,0,0.127,0.8245,31,1280.6,0.3967,1
0,1.0,1,1,1,1,1,2,0.1077,0.6741,4,2343.48,0.7812,1
1,0.75,1,0,1,1,0,0,0.2991,0.6154,11,4904.85,0.7305,1
0,0.25,0,0,1,0,0,0,0.2399,0.5303,38,1142.25,0.235,1
2,0.75,1,1,0,1,0,0,0.0954,0.9129,40,802.19,0.5161,1
0,1.0,1,1,1,1,0,0,0.5254,0.7982,36,109.49,0.6878,1
1,0.75,1,1,1,0,0,0,0.2958,0.7314,3,2442.75,0.5998,1
1,0.75,1,1,1,0,1,0,0.1365,0.806,41,9338.96,0.5134,1
0,0.75,1,1,1,0,1,2,0.1985,0.2441,47,1257.0,0.65,0
2,1.0,1,1,1,1,0,0,0.0608,0.9094,42,255.22,0.7003,1
0,0.75,1,1,0,1,1,1,0.3021,0.9163,28,3490.52,0.6246,0
0,0.75,1,0,1,1,2,0,0.3052,0.6465,40,302.33,0.4894,1
3,0.75,1,1,1,0,0,0,0.2361,0.5164,4,2574.74,0.5706,0
1,0.5,1,1,0,0,0,0,0.2105,0.475,10,1781.77,0.4435,1
0,0.75,0,1,1,1,0,0,0.3441,0.9377,29,2358.08,0.6146,1
1,0.5,0,0,1,1,0,0,0.4571,0.4497,8,721.26,0.4962,1
2,0.5,1,0,0,1,1,1,0.3993,0.6966,48,430.86,0.478,1
0,0.25,0,0,0,1,0,0,0.0344,0.3685,27,4937.93,0.1939,0
2,0.5,0,1,1,0,0,0,0.0672,0.8938,21,1086.72,0.333,0
0,0.75,1,1,0,1,1,0,0.2095,0.3478,10,5740.46,0.7095,0
0,0.75,1,0,1,1,0,0,0.28,0.8449,20,5072.34,0.7267,1
1,0.75,1,1,1,0,0,0,0.2929,0.5007,5,873.92,0.7029,1
1,1.0,1,1,1,1,2,0,0.2304,0.7235,25,8461.95,0.6948,1
2,0.75,1,1,1,0,1,3,0.1283,0.6746,15,715.57,0.7495,1
2,0.75,1,1,1,0,1,2,0.2127,0.5487,13,5683.44,0.5554,1
5,0.5,1,0,1,0,0,0,0.1936,0.7633,34,2009.77,0.4517,1
1,0.25,0,1,0,0,0,0,0.127,0.6921,41,807.48,0.242,1
0,0.5,1,1,0,0,0,0,0.0131,0.5551,35,9838.46,0.3662,1
2,0.5,0,1,1,0,1,1,0.0754,0.7247,21,11663.37,0.4839,0
0,1.0,1,1,1,1,1,0,0.2622,0.4138,1,2606.54,0.7583,1
1,0.5,1,0,0,1,0,0,0.17,0.5491,12,2316.63,0.4959,1
0,0.75,1,1,1,0,0,0,0.1672,0.7443,10,8188.63,0.5613,1
0,0.5,1,0,1,0,0,0,0.5016,0.8369,11,3273.38,0.4919,1
5,0.75,1,1,0,1,1,1,0.2845,0.8384,32,1182.55,0.5016,1
3,0.5,1,1,0,0,0,0,0.0741,0.7537,21,2038.05,0.4491,1
2,0.5,1,0,1,0,0,0,0.0451,0.8564,8,6427.38,0.4181,1
1,1.0,1,1,1,1,0,0,0.3081,0.9431,43,6970.49,0.8173,1
0,0.75,1,0,1,1,1,3,0.0954,0.5531,6,9903.62,0.5462,0
0,1.0,1,1,1,1,1,1,0.0319,0.7546,16,1290.15,0.897,1
0,0.75,1,1,0,1,0,0,0.1951,0.6829,9,4087.5,0.5376,1
1,0.75,1,1,1,0,1,2,0.1452,0.6216,37,347.94,0.6326,0
2,1.0,1,1,1,1,0,0,0.3895,0.8271,38,4629.95,0.7386,1
2,0.75,1,1,1,0,0,0,0.2459,0.9005,45,2998.98,0.7384,1
0,0.5,1,1,0,0,0,0,0.2274,0.7213,24,1105.8,0.33,0
5,0.5,1,1,0,0,1,3,0.0373,0.6171,26,3821.01,0.36,0
2,0.75,1,1,0,1,1,2,0.4884,0.5761,29,608.33,0.5511,0
2,0.5,1,0,1,0,0,0,0.3648,0.718,29,1521.61,0.3975,1
2,0.75,0,1,1,1,0,0,0.6451,0.8858,42,1893.22,0.5486,1
1,0.75,1,0,1,1,0,0,0.3785,0.4623,33,5354.2,0.6165,1
0,0.5,0,1,0,1,1,1,0.2061,0.5685,32,1392.56,0.4777,0
1,0.5,1,0,0,1,0,0,0.1358,0.5675,31,275.97,0.4496,1
