transaction_amount,customer_avg_amount,amount_deviation_ratio,dispute_amount,customer_dispute_count,merchant_dispute_rate,days_since_payment,dispute_velocity_24h,dispute_velocity_7d,is_duplicate_flag,transaction_hour,transaction_day_of_week,reason_code_encoded,merchant_high_risk_flag,customer_account_age_days,ip_billing_mismatch,is_fraud
929.58,1322.93,0.7027,845.5,1,0.0401,69,0,2,0,8,0,0,0,490,0,0
2677.1,4748.68,0.5638,2338.31,0,0.0573,80,0,1,0,13,2,3,0,493,1,0
3291.27,2498.54,1.3173,3161.9,1,0.0186,23,0,2,0,22,4,5,0,679,0,0
316.47,416.43,0.76,286.11,0,0.0589,9,1,1,0,3,0,2,0,468,0,0
3423.67,2318.98,1.4764,3254.85,0,0.0447,33,0,0,0,13,5,1,1,116,0,0
804.36,958.36,0.8393,716.36,0,0.0017,35,0,1,0,19,1,2,0,371,0,0
385.42,404.5,0.9528,332.3,1,0.0159,50,1,1,0,23,3,0,1,651,0,0
10557.91,18590.45,0.5679,10546.16,0,0.0964,24,0,0,1,19,3,0,0,232,0,0
11947.21,14957.17,0.7988,10435.05,0,0.059,88,0,0,0,16,0,4,0,448,0,0
5933.16,5276.41,1.1245,5922.85,2,0.0192,24,0,1,0,18,3,0,0,214,0,0
1421.51,795.67,1.7866,1416.67,1,0.0319,19,0,0,1,16,3,4,0,208,0,0
509.72,311.82,1.6347,493.96,0,0.0469,39,2,2,0,13,4,0,0,102,0,0
4184.63,2993.87,1.3977,3970.85,1,0.0671,61,0,2,0,12,3,0,0,10,0,1
2180.32,1638.19,1.3309,2042.24,0,0.0326,25,0,1,0,13,3,0,0,473,1,0
605.53,963.31,0.6286,593.37,0,0.0179,25,0,0,0,15,4,2,0,123,0,1
2542.42,3014.58,0.8434,2271.44,2,0.0661,27,0,1,0,20,5,1,0,4,0,0
272.48,308.65,0.8828,250.72,0,0.0145,32,0,0,0,14,3,0,0,467,0,0
8551.48,4794.61,1.7836,8063.26,0,0.0393,11,1,3,0,18,5,2,0,259,0,1
1198.1,1921.99,0.6234,1092.28,0,0.0055,69,1,2,0,21,4,4,0,721,0,0
3951.9,5579.85,0.7082,3612.52,0,0.0681,33,0,0,0,10,1,2,1,287,0,0
1457.41,721.03,2.0213,1311.0,1,0.0041,19,0,1,0,11,3,0,0,31,0,0
2719.39,3782.59,0.7189,2541.64,0,0.0499,16,1,2,0,10,0,0,0,688,0,1
2919.28,3389.15,0.8614,2853.85,0,0.047,11,0,0,0,22,2,2,0,521,0,0
865.36,445.15,1.944,761.72,0,0.0261,75,0,0,0,4,1,2,0,716,0,0
12374.82,12889.87,0.96,12253.11,1,0.0512,74,0,1,0,7,3,4,0,620,0,0
5372.86,5795.03,0.9271,5122.29,0,0.0375,69,1,4,0,5,0,1,0,124,0,0
9967.83,6300.51,1.5821,9703.59,0,0.0886,87,1,1,0,15,2,0,0,130,0,0
8032.53,13847.9,0.5801,7497.79,0,0.0121,55,0,1,0,11,4,1,0,516,0,0
3338.69,5308.4,0.6289,3228.27,0,0.0181,25,0,0,1,5,3,2,0,480,0,0
9073.02,12127.28,0.7481,7734.11,0,0.0723,77,0,0,0,12,6,1,0,542,0,1
474.29,496.68,0.9549,461.37,0,0.0386,34,1,1,1,6,5,5,0,77,0,0
913.47,891.98,1.0241,781.95,0,0.0413,12,0,0,0,7,5,1,0,183,0,1
311.99,409.13,0.7626,306.84,0,0.0125,88,0,1,0,11,4,1,1,366,0,0
1527.36,1777.24,0.8594,1525.52,0,0.0383,21,0,0,0,1,1,0,0,292,0,0
1872.46,912.23,2.0526,1674.19,1,0.0236,29,0,1,0,22,5,0,1,714,0,1
1257.96,1405.77,0.8949,1108.95,0,0.0036,51,0,0,0,8,2,2,0,389,0,1
6325.95,9672.16,0.654,6103.31,0,0.1404,23,1,2,0,12,5,2,0,157,0,0
1694.29,1767.04,0.9588,1504.45,0,0.0211,33,0,1,0,16,6,0,0,100,0,0
1304.31,616.6,2.1153,1278.01,1,0.0291,8,1,2,1,12,6,0,0,634,1,1
2888.42,4334.91,0.6663,2499.71,1,0.0017,42,0,0,0,15,2,2,0,110,0,1
681.64,464.82,1.4665,592.27,0,0.0244,77,0,0,1,0,5,3,0,679,0,0
5821.69,4436.53,1.3122,5803.48,1,0.0071,69,0,0,0,6,4,0,0,642,0,0
421.17,265.59,1.5858,400.56,0,0.0203,41,0,0,0,12,4,2,0,270,0,0
15319.51,13210.03,1.1597,14967.67,0,0.0476,74,0,1,0,13,5,0,0,138,0,0
5328.19,7776.24,0.6852,4788.17,1,0.0244,63,1,2,0,20,6,2,1,688,0,0
925.39,1043.04,0.8872,880.48,1,0.0429,14,0,2,0,16,1,2,0,64,0,0
169.38,116.34,1.4559,159.07,1,0.0227,88,0,0,0,15,0,0,0,643,0,0
6064.64,9879.07,0.6139,5703.63,1,0.0422,62,2,3,0,14,6,2,0,507,0,0
4444.84,7251.38,0.613,4233.18,1,0.0689,75,0,0,0,16,5,0,0,700,0,1
4719.82,7640.49,0.6177,4419.19,0,0.0028,46,0,2,0,1,6,0,0,350,0,0
5313.25,3901.6,1.3618,4858.22,0,0.0313,67,0,0,0,11,6,1,0,147,0,0
419.25,432.55,0.9693,373.71,0,0.0136,53,0,2,1,2,3,1,0,335,0,1
1703.62,3030.72,0.5621,1644.48,0,0.037,52,0,1,0,8,0,2,0,532,0,0
581.03,860.4,0.6753,513.6,2,0.0109,7,0,0,0,5,6,0,0,554,0,0
7109.85,3114.36,2.2829,6781.75,1,0.027,81,0,1,0,5,5,2,0,407,0,0
3567.05,1752.44,2.0355,3156.84,0,0.0196,84,0,0,0,6,6,0,0,344,0,0
1556.37,1633.42,0.9528,1468.9,1,0.027,54,0,0,0,7,2,0,0,652,0,0
379.84,635.44,0.5978,365.43,1,0.0354,11,0,1,0,2,3,1,0,521,0,0
1453.71,1677.85,0.8664,1283.35,1,0.0086,25,0,0,0,23,1,1,0,591,0,0
1526.6,1674.58,0.9116,1311.34,0,0.0179,59,0,1,0,14,0,5,0,660,0,0
4727.57,2589.12,1.8259,4111.31,0,0.0463,88,1,2,0,21,0,2,0,705,0,0
3702.11,4884.91,0.7579,3483.31,2,0.0205,66,0,0,1,5,3,0,0,136,0,0
7787.88,12078.57,0.6448,7612.01,0,0.0377,27,0,0,0,10,1,4,0,39,0,1
2386.73,2225.84,1.0723,2044.83,0,0.0285,83,0,0,0,2,6,0,0,320,0,0
595.8,885.27,0.673,572.04,0,0.0025,58,0,1,0,15,5,0,0,287,0,0
4521.94,7914.6,0.5713,4075.16,0,0.0049,11,0,1,0,5,1,1,0,463,0,0
5156.37,3533.52,1.4593,4753.03,0,0.006,55,0,2,0,10,5,4,0,662,0,0
3033.61,3436.05,0.8829,3001.24,1,0.0113,19,0,1,0,7,0,2,0,352,0,0
5308.61,4257.47,1.2469,4776.66,0,0.083,39,0,1,0,22,6,2,1,5,0,0
2532.85,3824.59,0.6623,2329.72,0,0.0298,85,0,0,0,9,5,2,0,236,0,0
2738.88,3310.29,0.8274,2333.67,0,0.0267,86,1,1,0,9,0,2,0,236,0,0
2102.35,2708.7,0.7761,1812.73,0,0.0284,70,0,1,0,22,4,2,0,501,1,1
240.12,364.28,0.6592,213.42,1,0.0192,11,1,2,0,2,3,0,0,105,0,0
549.59,524.51,1.0478,469.45,1,0.0474,14,0,0,0,13,6,0,0,207,1,0
261.77,440.07,0.5948,247.3,0,0.0114,60,0,0,0,18,1,1,0,239,1,1
3691.05,4230.83,0.8724,3373.47,0,0.0228,36,0,0,0,20,2,3,0,52,0,0
1470.89,913.62,1.61,1371.2,2,0.0378,41,0,0,0,20,3,2,1,108,0,1
2636.53,3623.27,0.7277,2310.12,0,0.0354,2,0,0,0,8,5,2,0,357,0,0
8484.43,12816.29,0.662,7588.39,0,0.0101,57,0,1,0,12,4,0,0,33,0,0
1153.59,973.01,1.1856,1095.42,0,0.0985,60,0,0,0,8,3,0,0,22,0,1
1998.99,3198.49,0.625,1988.59,1,0.0245,20,0,2,0,20,0,3,0,307,1,0
5080.62,8477.53,0.5993,4356.95,0,0.0502,22,0,1,0,11,3,0,0,11,0,0
1059.32,834.39,1.2696,1041.9,0,0.0338,4,0,0,0,13,6,2,1,639,1,1
430.36,764.72,0.5628,403.05,0,0.0535,56,0,3,0,4,5,0,0,442,0,0
1347.49,804.45,1.675,1259.35,0,0.008,58,0,0,0,5,3,2,0,562,0,0
765.33,522.58,1.4645,707.96,0,0.0093,88,0,1,0,12,6,2,0,198,0,1
9442.33,6212.25,1.52,8124.27,1,0.0983,65,0,0,0,12,3,2,0,529,0,0
5928.1,9790.76,0.6055,5118.8,0,0.0503,88,0,0,0,23,5,1,0,44,1,1
3662.23,4819.53,0.7599,3443.0,1,0.0131,58,0,0,1,5,2,2,0,185,0,1
7330.32,4493.09,1.6315,6605.67,0,0.0189,30,0,2,0,13,4,1,0,389,0,0
5847.89,5944.1,0.9838,5775.32,0,0.0639,76,0,0,0,10,3,4,0,551,0,0
872.73,1100.88,0.7928,795.05,0,0.0294,19,1,2,0,12,3,1,0,507,0,0
7957.85,4113.01,1.9348,6935.2,0,0.0845,62,0,1,0,11,2,0,0,442,0,0
2862.85,4681.86,0.6115,2740.34,0,0.0086,68,0,0,0,15,1,2,1,496,0,0
5915.72,9021.74,0.6557,5288.67,0,0.0019,79,0,2,0,5,3,1,0,505,0,0
8074.85,8941.2,0.9031,7500.09,1,0.0593,84,2,2,0,8,6,3,0,137,0,0
1489.56,2612.65,0.5701,1422.05,0,0.0213,44,0,1,0,16,5,0,0,279,0,0
558.07,549.62,1.0154,549.72,0,0.0552,84,1,2,0,19,6,0,0,164,0,1
1055.4,1876.24,0.5625,1022.5,0,0.0115,61,0,0,0,15,5,4,1,543,0,0
2099.7,2803.28,0.749,1997.77,0,0.0687,21,0,0,0,11,3,4,0,23,0,0
6113.4,7877.36,0.7761,5819.62,1,0.0332,10,0,1,0,17,1,1,0,711,0,1
7049.71,4457.79,1.5814,6992.53,0,0.0028,30,0,0,1,8,5,0,0,507,0,0
174.42,285.12,0.6117,156.0,0,0.0385,24,0,0,0,2,6,0,0,686,0,1
2652.07,2648.05,1.0015,2254.7,0,0.0096,48,2,2,0,9,6,0,0,510,0,0
2040.96,1279.94,1.5946,1818.07,0,0.0773,55,0,0,0,10,3,1,0,570,1,0
1029.09,429.8,2.3943,908.36,0,0.0595,52,0,0,0,1,3,0,0,708,0,1
596.88,706.5,0.8448,566.6,0,0.023,38,0,1,0,7,3,3,0,600,0,0
1591.68,1811.9,0.8785,1504.23,0,0.0378,67,0,0,0,19,4,0,0,444,0,0
10170.92,14311.45,0.7107,9550.69,0,0.0567,8,0,0,0,10,5,2,0,142,1,0
1516.34,2496.44,0.6074,1292.58,1,0.0164,29,0,1,0,17,0,2,0,281,0,0
2710.08,1385.31,1.9563,2599.83,1,0.0017,10,0,0,0,19,4,2,0,207,0,0
4399.3,6265.02,0.7022,3952.9,0,0.0387,69,0,0,0,6,1,1,0,684,1,0
1731.91,1147.18,1.5097,1644.9,0,0.0373,75,1,2,0,13,4,2,0,302,1,1
12637.29,20237.96,0.6244,11796.74,0,0.0116,68,0,0,0,6,6,3,0,397,0,0
11637.03,17998.87,0.6465,10489.73,1,0.0278,49,0,0,1,0,4,2,0,318,0,0
1165.21,1348.28,0.8642,1013.95,2,0.0271,58,1,1,0,11,2,0,0,48,0,0
2556.81,3565.06,0.7172,2209.5,0,0.002,35,0,1,0,0,1,0,0,673,0,0
1402.76,1178.44,1.1904,1367.31,0,0.0709,50,0,0,0,2,1,3,0,677,0,0
1323.37,1402.29,0.9437,1307.17,1,0.0227,40,0,1,0,1,1,2,0,390,0,0
281.55,436.48,0.645,266.76,0,0.0593,12,0,1,0,2,4,5,0,379,0,0
3441.72,3589.62,0.9588,2978.86,1,0.0642,85,0,1,0,3,1,1,0,217,0,0
2594.82,2337.72,1.11,2362.08,1,0.032,16,0,0,0,13,5,0,0,629,0,0
334.98,365.76,0.9158,321.36,0,0.0096,78,1,1,0,22,2,1,0,251,0,0
1293.19,2016.79,0.6412,1250.48,1,0.0239,85,0,0,0,17,3,1,0,434,0,0
8511.01,7398.55,1.1504,7385.28,0,0.0591,48,0,0,0,22,4,1,0,585,0,0
1108.51,713.07,1.5546,942.24,0,0.0067,1,1,1,0,4,3,3,0,284,0,0
697.86,974.78,0.7159,667.73,0,0.0049,65,0,0,1,14,3,2,0,483,0,0
2502.95,3895.52,0.6425,2261.39,0,0.0411,22,0,2,0,15,4,0,0,707,0,0
15004.13,8115.62,1.8488,13326.25,0,0.0421,15,0,0,0,7,5,2,0,267,0,0
1120.01,824.13,1.359,954.18,0,0.0429,84,1,1,0,23,4,2,0,599,0,1
4053.04,2426.8,1.6701,3773.56,0,0.0169,67,0,0,0,20,1,2,0,246,1,0
5168.61,4585.17,1.1272,5053.21,1,0.0443,14,0,0,0,7,2,2,0,158,0,0
1099.67,1133.2,0.9704,1092.68,0,0.0088,73,0,0,0,6,4,2,1,357,0,0
4709.62,6821.21,0.6904,4402.84,0,0.0062,19,0,1,0,5,3,1,1,548,0,1
1754.83,2301.65,0.7624,1627.02,0,0.0073,40,1,1,0,6,4,2,1,236,0,1
3651.76,4635.18,0.7878,3150.59,0,0.0156,4,0,1,0,22,2,2,1,460,0,1
3663.43,3272.63,1.1194,3415.53,1,0.0193,33,0,0,1,18,0,0,0,100,1,1
2835.85,4475.05,0.6337,2572.11,0,0.0007,43,0,0,0,21,5,1,0,119,0,0
481.2,509.98,0.9436,452.84,0,0.0197,37,0,1,0,21,3,1,0,354,0,0
6462.76,11443.91,0.5647,5870.18,0,0.0153,66,1,1,1,0,0,0,0,708,0,0
1503.84,1936.64,0.7765,1332.47,0,0.0602,27,0,1,0,12,0,3,0,88,0,0
872.51,503.24,1.7338,754.06,0,0.0223,45,0,2,0,6,6,1,0,36,0,0
295.7,398.2,0.7426,265.31,2,0.0085,81,1,3,0,0,2,0,0,314,0,0
3278.22,2803.36,1.1694,2834.01,0,0.0169,50,0,0,0,9,5,1,0,540,1,0
4111.48,5595.14,0.7348,3603.85,1,0.0313,63,0,1,0,12,4,0,0,551,0,0
208.54,103.75,2.01,208.14,0,0.0009,6,0,1,0,3,0,2,0,322,0,0
2661.71,1716.36,1.5508,2439.76,0,0.0151,67,1,1,0,6,6,2,1,427,1,1
1048.88,1676.14,0.6258,975.23,1,0.0126,67,0,0,0,5,1,0,0,517,0,0
3776.44,2711.68,1.3927,3704.85,0,0.0175,59,0,0,0,5,4,5,0,653,0,0
820.61,1289.88,0.6362,820.06,3,0.0035,13,0,0,0,20,5,0,0,9,1,0
4259.74,3369.4,1.2642,3993.11,0,0.0096,21,0,0,0,10,3,2,1,359,0,0
1861.36,2419.83,0.7692,1809.0,1,0.0144,64,1,1,0,22,4,3,0,478,0,0
9811.2,13459.11,0.729,8820.67,0,0.0456,37,0,0,0,8,2,1,0,57,0,0
667.81,746.42,0.8947,598.27,0,0.0086,80,0,0,0,21,6,5,0,283,0,0
1609.96,1332.14,1.2086,1465.72,1,0.0173,85,1,1,0,6,2,3,0,445,0,0
571.55,398.77,1.4333,543.47,0,0.0219,48,0,1,0,8,3,4,0,461,0,1
9201.67,4108.22,2.2398,8763.01,0,0.069,56,0,0,0,22,3,1,0,490,1,0
7494.17,6186.62,1.2114,6724.41,0,0.0083,44,0,0,0,5,3,1,0,359,0,1
1194.15,1569.62,0.7608,1038.89,0,0.085,13,0,1,0,18,6,3,0,690,0,1
3925.67,6727.13,0.5836,3709.21,0,0.0364,4,2,2,0,13,6,4,0,594,0,0
6098.19,9877.15,0.6174,5300.84,0,0.0263,73,0,0,0,0,2,4,1,597,0,0
2985.46,4396.06,0.6791,2796.7,0,0.0068,33,0,1,0,15,5,3,0,65,0,0
2789.98,4195.65,0.665,2661.68,0,0.0028,37,1,2,1,8,6,2,0,429,0,0
1119.07,1489.46,0.7513,1068.81,0,0.0074,53,0,1,0,22,5,0,0,457,1,0
492.04,376.12,1.3082,473.84,1,0.0292,24,1,1,0,14,6,0,0,136,0,0
8112.93,13549.19,0.5988,7958.21,0,0.0052,89,1,1,0,18,4,0,0,606,1,0
8223.71,11011.76,0.7468,7606.88,1,0.0038,51,0,1,0,9,0,0,0,48,0,0
3659.34,4334.92,0.8442,3511.27,2,0.0399,41,0,0,0,15,0,0,1,612,1,1
1599.16,888.15,1.8006,1507.81,1,0.0101,29,0,1,0,2,1,0,0,194,0,0
1653.49,1696.28,0.9748,1451.76,0,0.033,59,1,1,0,18,2,0,1,117,0,0
4680.63,4888.93,0.9574,3996.57,0,0.0294,40,0,0,0,12,3,5,0,164,0,0
8109.34,13059.19,0.621,7239.06,0,0.0081,51,0,0,0,13,5,0,1,479,0,0
7783.96,9070.71,0.8581,7133.65,1,0.0147,50,0,0,0,6,6,0,0,287,0,0
5447.47,5080.1,1.0723,5134.6,0,0.0127,36,0,1,0,1,4,2,0,536,0,0
3745.59,6620.41,0.5658,3661.29,0,0.0275,79,0,1,1,13,5,3,0,494,0,1
457.62,253.98,1.8018,402.45,0,0.017,60,1,1,0,22,2,0,0,405,1,0
767.03,760.56,1.0085,666.42,0,0.0844,18,0,0,0,22,1,0,0,96,0,1
8158.81,3743.54,2.1794,8114.12,0,0.0106,20,1,2,0,16,5,0,0,497,0,0
3413.73,4901.66,0.6964,2957.0,1,0.0427,5,1,2,1,12,0,1,0,254,0,1
182.34,307.3,0.5934,168.08,1,0.033,18,0,0,0,1,4,0,0,414,1,0
524.49,415.42,1.2626,491.88,1,0.009,40,0,0,0,4,0,2,0,633,0,0
3962.07,6345.96,0.6243,3689.5,0,0.0528,1,0,0,1,3,4,3,1,584,0,1
167.76,135.74,1.2359,144.76,0,0.0248,19,0,1,0,2,3,2,0,371,0,0
763.61,1279.11,0.597,655.6,1,0.0241,87,0,1,0,13,4,1,0,576,0,0
2934.94,4271.94,0.687,2541.14,1,0.0171,26,0,1,0,10,6,0,0,243,0,0
4270.6,6520.65,0.6549,4005.13,0,0.008,29,0,0,0,7,3,1,1,639,0,1
3844.05,1634.53,2.3518,3581.32,0,0.0308,59,0,2,0,22,2,1,0,373,0,0
1038.82,1815.79,0.5721,919.42,1,0.0687,63,0,1,0,8,0,2,0,39,0,0
4508.96,6390.73,0.7055,4263.97,2,0.047,83,0,0,0,15,4,4,0,353,0,0
1097.88,907.56,1.2097,1068.25,0,0.0255,62,0,0,0,2,4,0,0,426,0,0
1527.72,2385.0,0.6406,1308.09,1,0.0353,48,0,0,0,9,1,5,0,77,0,0
4953.25,3933.52,1.2592,4580.37,1,0.0371,62,0,2,0,0,0,4,0,510,0,0
3820.71,6196.64,0.6166,3642.65,0,0.0446,18,0,0,0,8,2,0,0,517,0,0
6771.85,3776.07,1.7934,6012.37,1,0.0486,66,0,0,0,15,3,0,0,140,0,0
3901.35,5404.0,0.7219,3496.26,0,0.0144,27,1,1,0,8,2,0,0,252,0,0
3090.16,3575.25,0.8643,2911.07,0,0.0393,6,0,0,1,11,1,2,0,669,0,0
494.25,264.5,1.8686,486.68,0,0.0345,70,1,1,0,0,2,0,1,317,0,0
1754.46,1295.93,1.3538,1704.44,0,0.0693,59,0,2,0,15,3,0,0,420,0,0
1228.56,512.76,2.396,1151.74,1,0.0328,6,1,1,0,7,0,4,0,75,0,0
1128.95,1192.48,0.9467,1083.27,0,0.0113,31,2,3,0,13,5,0,0,29,0,0
12793.08,10512.99,1.2169,11574.2,1,0.0121,56,2,4,0,13,1,1,0,41,0,1
1897.86,2348.98,0.808,1795.65,0,0.0138,54,1,1,0,9,6,2,0,541,0,0
7941.19,6481.07,1.2253,7305.32,2,0.0413,85,0,3,0,0,4,4,0,492,0,1
3640.67,2984.94,1.2197,3198.29,0,0.0192,41,0,1,0,5,4,0,0,100,0,0
5693.39,8201.16,0.6942,5438.67,0,0.0103,18,0,0,0,8,0,0,1,320,0,0
2594.52,1212.68,2.1395,2421.91,0,0.0177,87,0,0,0,18,5,2,0,570,0,0
3160.55,5259.32,0.6009,2856.48,0,0.1001,23,0,3,0,21,2,2,0,723,0,0
2524.03,4021.21,0.6277,2490.46,0,0.0341,36,0,0,0,15,6,5,0,650,0,0
910.25,1215.12,0.7491,776.57,0,0.0172,25,0,1,0,18,6,0,0,523,0,0
4636.17,5704.85,0.8127,4160.34,0,0.0355,7,0,1,0,10,4,2,1,189,1,1
1303.52,2149.8,0.6063,1119.11,0,0.0211,82,0,2,0,20,1,1,0,450,0,0
236.16,155.74,1.5164,227.89,1,0.0098,20,0,0,0,10,5,4,0,94,0,1
3779.39,1929.59,1.9586,3610.51,0,0.0635,5,1,1,0,13,3,1,0,181,0,0
832.27,611.98,1.36,748.8,0,0.014,18,0,2,0,6,6,1,0,321,1,0
10023.79,15160.08,0.6612,9536.13,0,0.0982,33,0,0,0,11,2,0,0,283,0,0
10921.47,4898.7,2.2295,9931.88,1,0.037,79,0,1,0,19,5,0,0,391,0,0
8772.28,10666.47,0.8224,8451.55,0,0.0224,35,0,0,0,19,6,1,0,321,0,0
1768.01,3171.12,0.5575,1623.26,0,0.0642,65,1,2,0,22,3,0,0,570,0,0
204.52,326.82,0.6258,186.49,1,0.0319,63,0,0,0,4,5,1,0,25,0,0
9374.33,10593.22,0.8849,9282.55,0,0.0088,85,0,0,0,0,5,0,0,260,0,0
2106.28,1030.18,2.0446,1869.6,0,0.0544,72,0,0,0,10,2,3,0,497,0,0
12052.95,18849.88,0.6394,10462.77,0,0.0271,71,0,1,1,14,1,0,0,213,0,1
11748.07,14550.81,0.8074,11015.95,0,0.0687,41,0,1,0,9,3,2,0,115,0,0
6860.85,3848.29,1.7828,6829.28,0,0.0201,50,0,0,0,14,1,2,1,452,0,0
1370.72,728.4,1.8818,1242.8,0,0.0184,30,0,1,0,12,3,0,0,700,1,0
1852.02,3099.31,0.5976,1591.45,1,0.0024,38,0,0,0,14,6,0,0,648,0,0
6816.54,9112.9,0.748,6140.99,0,0.0283,35,1,3,0,1,6,3,0,490,0,0
1484.01,2316.54,0.6406,1374.03,0,0.0794,66,1,1,0,21,2,0,0,602,0,0
800.02,1304.49,0.6133,699.45,1,0.0212,46,0,0,0,12,1,0,0,528,0,0
2998.08,3599.14,0.833,2844.32,1,0.0311,8,0,1,0,11,6,1,0,659,0,0
9779.53,10996.35,0.8893,9776.23,0,0.0335,68,1,1,0,22,2,1,0,385,0,1
4317.89,4329.11,0.9974,3962.79,0,0.0328,37,0,0,0,3,5,0,0,613,0,0
3104.39,2619.25,1.1852,2803.91,0,0.0213,85,0,0,0,11,5,5,1,418,0,0
507.8,512.08,0.9916,462.15,2,0.0423,13,0,1,1,14,2,4,0,219,0,0
3490.86,5178.45,0.6741,3027.52,0,0.0178,73,0,0,0,12,3,3,0,557,0,0
16286.99,20239.73,0.8047,16001.82,1,0.0239,45,0,0,0,1,6,1,0,63,0,0
678.22,1118.75,0.6062,618.69,0,0.0131,29,0,0,0,19,5,5,0,350,0,0
2706.73,2762.85,0.9797,2457.96,0,0.0811,41,0,2,0,15,3,2,0,390,0,0
7495.13,9368.35,0.8,7112.53,0,0.0177,56,0,0,0,13,1,3,0,377,0,0
4875.12,6258.83,0.7789,4467.1,0,0.0462,88,0,0,0,20,4,1,0,66,0,0
4329.26,5317.96,0.8141,4100.83,0,0.0162,16,0,1,1,1,5,0,0,119,0,0
4393.01,6078.55,0.7227,3774.55,0,0.0493,12,0,0,0,16,5,4,0,8,0,0
1709.22,1251.84,1.3654,1661.46,0,0.0117,66,0,0,0,15,0,1,0,707,0,0
1366.47,1526.77,0.895,1354.28,0,0.0393,62,1,1,1,3,3,5,0,27,0,1
5950.81,3248.63,1.8318,5637.29,0,0.0657,19,0,1,0,10,2,0,0,290,1,1
5964.65,5596.73,1.0657,5924.0,1,0.0198,30,0,0,0,12,0,5,0,28,0,0
7212.83,7809.58,0.9236,6294.74,0,0.0434,16,1,2,1,5,1,0,0,159,0,0
8706.16,11432.18,0.7615,8023.71,2,0.0199,88,1,2,0,16,0,1,0,145,0,0
2656.33,4597.43,0.5778,2497.67,0,0.0349,13,0,1,0,0,0,2,0,467,0,0
2586.65,3209.8,0.8059,2424.36,1,0.0237,69,0,1,0,8,4,2,0,108,0,0
5753.32,8290.72,0.6939,5236.78,2,0.0114,23,0,0,0,20,4,2,0,439,0,0
3824.02,4239.97,0.9019,3444.34,0,0.0181,62,0,2,0,17,0,1,1,203,0,0
4386.93,5649.25,0.7766,3812.35,0,0.0149,31,0,1,0,10,4,0,0,301,0,0
5710.17,2851.12,2.0028,5189.18,0,0.0066,53,0,1,0,13,6,1,0,438,0,0
7875.63,5955.14,1.3225,6886.44,0,0.0186,17,0,0,0,1,4,0,0,11,0,0
1593.69,1444.83,1.103,1530.19,0,0.0426,49,0,0,0,19,0,2,0,607,0,0
1798.28,1908.86,0.9421,1584.87,0,0.0266,49,0,1,0,10,3,0,0,642,0,0
495.44,229.84,2.1556,425.48,1,0.018,67,0,0,0,1,4,1,0,103,0,0
